atomCount,hydrogenCount,rotatablebondCount,NHA,molecularpolarizability,donorCount,label
27,12,5,15,21.14,2,0
61,33,11,28,40.57,4,0
41,19,4,22,30.71,5,0
41,16,7,25,32.0,7,0
41,16,7,25,32.0,7,0
48,24,5,24,33.13,7,0
110,55,12,55,71.46,17,0
108,53,12,55,71.2,17,0
88,34,13,54,68.8,10,0
40,13,7,27,39.84,1,0
36,14,6,22,28.97,5,0
38,19,5,19,29.31,2,0
40,16,4,24,28.63,7,0
37,17,3,20,31.18,5,0
43,16,4,27,39.12,4,0
50,23,13,27,37.51,3,0
81,40,9,41,61.76,4,0
55,22,8,33,46.64,4,0
123,70,18,53,83.02,3,0
100,49,21,51,75.18,7,0
100,49,21,51,75.18,7,0
27,12,3,15,23.34,3,0
128,69,29,59,87.88,12,0
68,31,8,37,60.45,1,0
155,80,30,75,108.61,11,0
80,37,10,43,64.34,2,0
44,22,4,22,28.32,6,0
61,32,6,29,44.11,2,0
44,23,4,21,28.29,7,0
49,20,7,29,42.43,3,0
84,36,18,48,65.8,4,0
127,62,29,65,92.18,14,0
132,67,25,65,93.96,9,0
62,27,11,35,52.21,6,0
75,37,16,38,51.95,7,0
163,83,33,80,117.83,15,0
67,33,9,34,50.58,5,0
33,17,5,16,24.63,3,0
115,56,15,59,74.85,16,0
40,19,5,21,26.65,7,0
45,26,11,19,29.6,5,0
38,18,4,20,33.23,1,0
56,23,2,33,45.7,6,0
30,13,2,17,22.08,5,0
134,66,29,68,96.27,15,0
132,64,23,68,96.18,10,0
124,67,25,57,85.79,8,0
184,93,37,91,131.35,15,0
62,27,11,35,52.21,6,0
48,20,6,28,41.92,2,0
111,63,22,48,72.22,8,0
158,80,30,78,113.75,12,0
66,32,8,34,48.22,3,0
106,55,10,51,78.63,8,0
85,48,17,37,58.03,5,0
102,57,20,45,66.72,8,0
67,32,8,35,48.89,4,0
47,19,5,28,41.25,1,0
111,63,22,48,72.22,8,0
60,27,12,33,47.26,4,0
37,14,4,23,29.66,5,0
129,68,26,61,89.02,9,0
48,20,6,28,41.92,2,0
57,25,12,32,45.43,4,0
134,73,29,61,88.94,12,0
51,25,5,26,33.33,8,0
54,34,15,20,34.49,1,0
88,47,17,41,60.71,6,0
94,51,18,43,64.38,6,0
96,52,18,44,67.49,5,0
104,56,20,48,71.27,7,0
110,60,21,50,74.94,7,0
110,61,21,49,76.62,6,0
112,61,21,51,78.05,6,0
97,54,19,43,67.9,5,0
115,63,22,52,79.88,6,0
111,57,24,54,77.52,10,0
